            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
3590,      24758098,       2717460,            11,     169899024,      11572649,            81,     358707866,      70257347,           179,     262115969,      36240439,           116
3591,      24771989,       2719021,            11,     169998678,      11579066,            69,     358920733,      70299099,           177,     262269833,      36261988,           117
3592,      24785891,       2720586,            11,     170098371,      11585484,            67,     359133637,      70340858,           185,     262423806,      36283567,           118
3593,      24799796,       2722151,            11,     170198211,      11591955,            69,     359346602,      70382628,           179,     262577802,      36305141,           120
3594,      24813704,       2723716,            11,     170297977,      11598391,            68,     359559643,      70424413,           178,     262731879,      36326749,           117
3595,      24827615,       2725281,            11,     170397808,      11604788,            74,     359772735,      70466206,           178,     262886000,      36348354,           118
3596,      24841529,       2726846,            11,     170497629,      11611172,            69,     359985904,      70508015,           179,     263040201,      36369999,           119
3597,      24855446,       2728411,            11,     170597534,      11617588,            70,     360199144,      70549840,           188,     263194446,      36391655,           149
3598,      24869366,       2729976,            11,     170697486,      11624003,            70,     360412470,      70591683,           178,     263348642,      36413248,           123
3599,      24883289,       2731541,            12,     170797675,      11630473,            72,     360625832,      70633532,           183,     263502910,      36434876,           124
3600,      24897215,       2733106,            12,     170897844,      11636917,            72,     360839270,      70675396,           184,     263657206,      36456474,           124
3601,      24911144,       2734671,            12,     170998011,      11643398,            72,     361052777,      70717273,           185,     263811548,      36478081,           124
3602,      24925076,       2736236,            12,     171098052,      11649822,            72,     361266336,      70759158,           224,     263965919,      36499701,           124
3603,      24939015,       2737803,            12,     171198201,      11656276,            74,     361479945,      70801052,           178,     264120340,      36521325,           123
3604,      24952957,       2739370,            12,     171298582,      11662766,            72,     361693632,      70842964,           186,     264274824,      36542973,           127
3605,      24966902,       2740937,            12,     171398795,      11669253,            72,     361907371,      70884885,           185,     264429330,      36564615,           123
3606,      24980850,       2742504,            12,     171499096,      11675729,            72,     362121183,      70926821,           184,     264583911,      36586268,           121
3607,      24994801,       2744071,            12,     171599539,      11682301,            77,     362335064,      70968773,           185,     264738548,      36607938,           125
3608,      25008755,       2745638,            12,     171700008,      11688852,            74,     362548981,      71010728,           186,     264893195,      36629605,           123
3609,      25022712,       2747205,            12,     171800513,      11695412,            75,     362762977,      71052699,           188,     265047874,      36651273,           123
3610,      25036672,       2748772,            12,     171900921,      11701938,            73,     362977044,      71094684,           186,     265202600,      36672925,           119
3611,      25050637,       2750340,            11,     172001323,      11708447,            70,     363191177,      71136682,           180,     265357389,      36694603,           118
3612,      25064609,       2751910,            11,     172101751,      11714914,            72,     363405374,      71178692,           178,     265512238,      36716302,           119
3613,      25078584,       2753480,            11,     172202329,      11721452,            70,     363619660,      71220720,           180,     265667140,      36738004,           118
3614,      25092562,       2755050,            11,     172302798,      11727995,            69,     363834005,      71262760,           182,     265822111,      36759721,           120
3615,      25106545,       2756621,            11,     172403286,      11734468,            72,     364048418,      71304817,           179,     265977088,      36781414,           118
3616,      25120531,       2758192,            11,     172503857,      11741005,            69,     364262867,      71346877,           180,     266132124,      36803141,           119
3617,      25134520,       2759763,            11,     172604621,      11747550,            71,     364477363,      71388945,           180,     266287199,      36824871,           119
3618,      25148514,       2761335,            11,     172705329,      11754064,            69,     364691969,      71431034,           180,     266442372,      36846633,           120
3619,      25162513,       2762908,            11,     172806053,      11760628,            71,     364906629,      71473136,           183,     266597565,      36868387,           120
3620,      25176521,       2764484,            11,     172906687,      11767165,            69,     365121340,      71515247,           180,     266752823,      36890157,           120
3621,      25190538,       2766063,            11,     173007395,      11773674,            71,     365336110,      71557369,           179,     266908126,      36911935,           120
3622,      25204558,       2767642,            11,     173108144,      11780194,            72,     365550957,      71599507,           179,     267063453,      36933702,           120
3623,      25218581,       2769221,            11,     173208979,      11786755,            70,     365765866,      71641657,           180,     267218796,      36955464,           120
3624,      25232609,       2770801,            11,     173309861,      11793319,            70,     365980855,      71683826,           184,     267374213,      36977238,           123
