            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
8749,  111200349165,   55542815301,         14407,    1892065784,     172579470,           529,    2267371964,     440538514,           619,    2088240490,     425722905,           750
8750,  111238559736,   55561907468,         13932,    1892541559,     172620390,           587,    2267921389,     440645440,           678,    2088742999,     425826560,           763
8751,  111276781462,   55581005211,         15178,    1892996891,     172661625,           636,    2268470584,     440752298,           877,    2089245502,     425930204,           935
8752,  111315013623,   55600108170,         13838,    1893449636,     172702915,           526,    2269020147,     440859249,           618,    2089747762,     426033737,           958
8753,  111353245791,   55619211131,         14229,    1893898215,     172743696,           522,    2269569706,     440966197,           623,    2090250071,     426137283,           738
8754,  111391481192,   55638315707,         13752,    1894342056,     172784739,           514,    2270119653,     441073248,           657,    2090752723,     426240929,           736
8755,  111429729118,   55657426544,         17095,    1894808850,     172825048,           751,    2270669587,     441180288,           950,    2091255331,     426344569,           890
8756,  111467980779,   55676539247,         13334,    1895267418,     172865690,           520,    2271219464,     441287305,           621,    2091758144,     426448267,           739
8757,  111506239413,   55695655435,         14330,    1895723892,     172906451,           515,    2271769457,     441394363,           615,    2092260980,     426551966,           742
8758,  111544504524,   55714774860,         13312,    1896172499,     172947491,           513,    2272319545,     441501430,           629,    2092763751,     426655665,           732
8759,  111582784316,   55733901624,         13635,    1896631950,     172988112,           523,    2272869304,     441608401,           620,    2093266845,     426759440,           755
8760,  111621071421,   55753032043,         13579,    1897098604,     173028889,           511,    2273419594,     441715515,           626,    2093769831,     426863164,           733
8761,  111659372899,   55772169647,         13442,    1897549996,     173070215,           524,    2273969856,     441822597,           625,    2094272850,     426966885,           729
8762,  111697679110,   55791309616,         13366,    1898004753,     173111301,           520,    2274519967,     441929642,           627,    2094776082,     427070644,           737
8763,  111735993658,   55810453752,         13560,    1898481335,     173152133,           539,    2275070278,     442036734,           619,    2095279267,     427174383,           738
8764,  111774319787,   55829603677,         13636,    1898942303,     173193168,           524,    2275620582,     442143815,           619,    2095782479,     427278168,           742
8765,  111812654981,   55848758133,         13476,    1899401540,     173234016,           545,    2276170804,     442250874,           619,    2096285697,     427381920,           725
8766,  111850993582,   55867914291,         13566,    1899865061,     173274866,           519,    2276721481,     442358061,           632,    2096789120,     427485756,           843
8767,  111889339338,   55887074025,         13603,    1900322549,     173315795,           514,    2277271996,     442465208,           621,    2097292552,     427589564,           735
8768,  111927702265,   55906242343,         13506,    1900784929,     173356709,           517,    2277822669,     442572386,           644,    2097796124,     427693453,           715
8769,  111966080891,   55925418509,         13155,    1901243970,     173397655,           507,    2278373656,     442679625,           620,    2098299765,     427797356,           733
8770,  112004474464,   55944602147,         13225,    1901700774,     173438404,           501,    2278924431,     442786792,           615,    2098803459,     427901212,           707
8771,  112042869562,   55963786546,         13081,    1902160869,     173479460,           507,    2279475222,     442893973,           618,    2099307166,     428005083,           728
8772,  112081275713,   55982976470,         13048,    1902622426,     173520384,           506,    2280026257,     443001209,           613,    2099810989,     428108974,           708
8773,  112119694133,   56002172527,         13024,    1903077400,     173561719,           493,    2280577215,     443108427,           592,    2100314876,     428212901,           726
8774,  112158114378,   56021369495,         13157,    1903559590,     173602557,           520,    2281128270,     443215661,           621,    2100818816,     428316819,           708
8775,  112196546312,   56040572306,         13197,    1904026373,     173643078,           505,    2281679513,     443322958,           625,    2101322786,     428420726,           712
8776,  112234981341,   56059776663,         13462,    1904481104,     173684005,           533,    2282230857,     443430279,           592,    2101826667,     428524623,           700
8777,  112273423139,   56078984403,         13078,    1904947780,     173724960,           513,    2282782124,     443537559,           598,    2102330656,     428628549,           715
8778,  112311865956,   56098192651,         13303,    1905401734,     173766006,           513,    2283333205,     443644791,           625,    2102834754,     428732499,           720
8779,  112350310092,   56117401557,         13287,    1905851138,     173807321,           495,    2283884493,     443752074,           594,    2103338896,     428836471,           702
8780,  112388763099,   56136614897,         13246,    1906294558,     173848678,           509,    2284435982,     443859414,           600,    2103843403,     428940563,           706
8781,  112427230201,   56155835283,         13283,    1906747546,     173890142,           506,    2284987753,     443966809,           594,    2104347873,     429044635,           711
8782,  112465700028,   56175057030,         13124,    1907193517,     173931419,           516,    2285539536,     444074195,           616,    2104852296,     429148667,           721
8783,  112504182670,   56194285183,         13143,    1907659947,     173972543,           514,    2286091305,     444181579,           593,    2105356651,     429252703,           700
8784,  112542680839,   56213521098,         13050,    1908109288,     174013712,           510,    2286642777,     444288888,           621,    2105861222,     429356769,           708
8785,  112581181105,   56232758060,         14039,    1908563438,     174054903,           494,    2287194381,     444396235,           597,    2106365844,     429460845,           715
8786,  112619684282,   56251996476,         13482,    1909020560,     174096088,           515,    2287746438,     444503681,           597,    2106870476,     429564921,           735
