"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.456608042E0,-3.101550293E-1,9.801916809E0,-1.348695374E-1,9.807749949E0
1.466638042E0,-3.065625000E-1,9.808952179E0,-1.209484863E-1,9.814486841E0
1.476668042E0,-3.146456909E-1,9.812544708E0,-1.149609375E-1,9.818261128E0
1.486698042E0,-3.194357300E-1,9.806108093E0,-9.445358276E-2,9.811764194E0
1.496728042E0,-3.237767029E-1,9.799372101E0,-9.699829102E-2,9.805199314E0
1.506758042E0,-3.393443298E-1,9.799970856E0,-1.134640503E-1,9.806500774E0
1.516788042E0,-3.347039795E-1,9.791887665E0,-1.383123779E-1,9.798582607E0
1.526818042E0,-3.147953796E-1,9.792037354E0,-1.519340515E-1,9.798274114E0
1.536848042E0,-3.273692322E-1,9.801617432E0,-1.606159973E-1,9.808398054E0
1.546878042E0,-3.180885315E-1,9.813891907E0,-1.498384094E-1,9.820188706E0
1.556908042E0,-3.161425781E-1,9.814640350E0,-1.445993042E-1,9.820795298E0
1.566938042E0,-3.269201660E-1,9.801767120E0,-1.278341675E-1,9.808050624E0
1.576968042E0,-3.495231628E-1,9.795330505E0,-1.022373962E-1,9.802097665E0
1.586998042E0,-3.582051086E-1,9.801617432E0,-9.864486694E-2,9.808656686E0
1.597028042E0,-2.838098145E-1,9.787995758E0,-1.185534668E-1,9.792827166E0
1.607058042E0,-2.811154175E-1,9.795031128E0,-1.333726501E-1,9.799971885E0
1.617088042E0,-2.954855347E-1,9.804910583E0,-1.450483704E-1,9.810434357E0
1.627119042E0,-3.031196594E-1,9.814191284E0,-1.480421448E-1,9.819987198E0
1.637149042E0,-3.059637451E-1,9.811796265E0,-1.459465027E-1,9.817650439E0
1.647179042E0,-3.131488037E-1,9.798923035E0,-1.451980591E-1,9.805000627E0
1.657209042E0,-3.152444458E-1,9.790091400E0,-1.440005493E-1,9.796224009E0
1.667239042E0,-3.164419556E-1,9.794731750E0,-1.347198486E-1,9.800768083E0
1.677269042E0,-3.164419556E-1,9.801767120E0,-1.240919495E-1,9.807658895E0
1.687299042E0,-3.255729675E-1,9.811646576E0,-1.184037781E-1,9.817760730E0
1.697329042E0,-3.171903992E-1,9.816137238E0,-1.188528442E-1,9.821979740E0
1.707359042E0,-3.215313721E-1,9.811347198E0,-1.311273193E-1,9.817490038E0
1.717389042E0,-3.203338623E-1,9.803264008E0,-1.387614441E-1,9.809477750E0
1.727419042E0,-3.182382202E-1,9.799970856E0,-1.306782532E-1,9.806007401E0
1.737449042E0,-3.161425781E-1,9.788444824E0,-1.401086426E-1,9.794550967E0
1.747479042E0,-3.171903992E-1,9.802665253E0,-1.501377869E-1,9.808944753E0
1.757509042E0,-3.126997375E-1,9.806257782E0,-1.407073975E-1,9.812251086E0
1.767539042E0,-3.176394653E-1,9.806257782E0,-1.335223389E-1,9.812309348E0
1.777569042E0,-3.132984924E-1,9.803713074E0,-1.260379028E-1,9.809527590E0
1.787599042E0,-3.083587646E-1,9.806407471E0,-1.182540894E-1,9.811967012E0
1.797629042E0,-3.115022278E-1,9.797426147E0,-1.173559570E-1,9.803079372E0
1.807659042E0,-2.950364685E-1,9.803264008E0,-1.209484863E-1,9.808448412E0
1.817689042E0,-2.980302429E-1,9.797875214E0,-1.386117554E-1,9.803386861E0
1.827719042E0,-3.059637451E-1,9.804012451E0,-1.426533508E-1,9.809822829E0
1.837749042E0,-3.034190369E-1,9.800569611E0,-1.429527283E-1,9.806307322E0
1.847779042E0,-3.011737061E-1,9.805808716E0,-1.519340515E-1,9.811609151E0
1.857809042E0,-3.073109436E-1,9.802216187E0,-1.460961914E-1,9.808120425E0
1.867839042E0,-3.156935120E-1,9.799372101E0,-1.393601990E-1,9.805446304E0
1.877869042E0,-3.191363525E-1,9.799821167E0,-1.190025330E-1,9.805738346E0
1.887900042E0,-3.147953796E-1,9.798024902E0,-1.142124939E-1,9.803745846E0
1.897930042E0,-3.186872864E-1,9.805359650E0,-1.240919495E-1,9.811321942E0
1.907960042E0,-3.165916443E-1,9.798773346E0,-1.278341675E-1,9.804719829E0
1.917990042E0,-3.242257690E-1,9.795480194E0,-1.417552185E-1,9.801869675E0
1.928020042E0,-3.207829285E-1,9.793983307E0,-1.552272034E-1,9.800464590E0
1.938050042E0,-3.282673645E-1,9.799821167E0,-1.544787598E-1,9.806534457E0
1.948080042E0,-3.231779480E-1,9.801916809E0,-1.314266968E-1,9.808123679E0
1.958110042E0,-3.125500488E-1,9.808952179E0,-1.357676697E-1,9.814869497E0
1.968140042E0,-3.041674805E-1,9.814340973E0,-1.278341675E-1,9.819885344E0
1.978170042E0,-2.974314880E-1,9.806856537E0,-1.119671631E-1,9.812004753E0
1.988200042E0,-3.086581421E-1,9.797575836E0,-1.140628052E-1,9.803100144E0
1.998230042E0,-3.008743286E-1,9.790690155E0,-1.216969299E-1,9.796068049E0
2.008260042E0,-3.100053406E-1,9.788444824E0,-1.263372803E-1,9.794167473E0
