"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.434823583E0,7.903564453E-2,7.649093628E-2,9.853559418E0,9.854173263E0
1.444852583E0,8.562194824E-2,8.143066406E-2,9.844428406E0,9.845137516E0
1.454882583E0,9.205856323E-2,7.379653931E-2,9.848470001E0,9.849176721E0
1.464911583E0,8.861572266E-2,7.409591675E-2,9.848769379E0,9.849446747E0
1.474940583E0,9.071136475E-2,7.798782349E-2,9.854756927E0,9.855482979E0
1.484970583E0,8.143066406E-2,7.664062500E-2,9.857451324E0,9.858085583E0
1.494999583E0,8.337661743E-2,7.514373779E-2,9.855505371E0,9.856144498E0
1.505028583E0,8.562194824E-2,6.586303711E-2,9.849966888E0,9.850559211E0
1.515058583E0,7.409591675E-2,6.586303711E-2,9.829609222E0,9.830109135E0
1.525087583E0,7.020401001E-2,7.095245361E-2,9.833501129E0,9.834007693E0
1.535116583E0,6.975494385E-2,7.349716187E-2,9.847422180E0,9.847943500E0
1.545145583E0,6.661148071E-2,8.412506104E-2,9.837093658E0,9.837678881E0
1.555175583E0,8.741821289E-2,9.190887451E-2,9.846524048E0,9.847341012E0
1.565204583E0,9.160949707E-2,9.041198730E-2,9.846673737E0,9.847514930E0
1.575233583E0,9.565109253E-2,8.771759033E-2,9.848769379E0,9.849624449E0
1.585263583E0,9.160949707E-2,9.445358276E-2,9.841284943E0,9.842164554E0
1.595292583E0,9.535171509E-2,8.711883545E-2,9.850565643E0,9.851412342E0
1.605321583E0,9.699829102E-2,7.694000244E-2,9.855804749E0,9.856582353E0
1.615351583E0,8.173004150E-2,7.050338745E-2,9.849218445E0,9.849809871E0
1.625380583E0,8.996292114E-2,5.298980713E-2,9.839638367E0,9.840192297E0
1.635409583E0,7.214996338E-2,5.987548828E-2,9.833201752E0,9.833648732E0
1.645439583E0,7.155120850E-2,6.780899048E-2,9.829010468E0,9.829504789E0
1.655468583E0,7.694000244E-2,7.095245361E-2,9.836195526E0,9.836752332E0
1.665497583E0,7.649093628E-2,8.337661743E-2,9.845625916E0,9.846276057E0
1.675527583E0,8.083190918E-2,8.232879639E-2,9.837542725E0,9.838219284E0
1.685556583E0,8.562194824E-2,8.232879639E-2,9.837692413E0,9.838409484E0
1.695585583E0,8.517288208E-2,9.939331055E-2,9.837842102E0,9.838712857E0
1.705614583E0,8.577163696E-2,1.028361511E-1,9.842781830E0,9.843692711E0
1.715644583E0,9.131011963E-2,8.801696777E-2,9.839638367E0,9.840455666E0
1.725673583E0,9.250762939E-2,7.963439941E-2,9.842332764E0,9.843089633E0
1.735702583E0,8.741821289E-2,6.631210327E-2,9.846374359E0,9.846985694E0
1.745732583E0,8.113128662E-2,6.077362061E-2,9.839788055E0,9.840310193E0
1.755761583E0,8.562194824E-2,5.852828979E-2,9.835896149E0,9.836442941E0
1.765790583E0,8.008346558E-2,6.107299805E-2,9.848619690E0,9.849134636E0
1.775820583E0,8.143066406E-2,6.780899048E-2,9.847571869E0,9.848141994E0
1.785849583E0,7.843688965E-2,7.364685059E-2,9.845176849E0,9.845764744E0
1.795878583E0,8.367599487E-2,8.966354370E-2,9.848320312E0,9.849083927E0
1.805908583E0,8.247848511E-2,9.595046997E-2,9.825717316E0,9.826531940E0
1.815937583E0,7.244934082E-2,9.220825195E-2,9.842931519E0,9.843630029E0
1.825966583E0,7.259902954E-2,9.145980835E-2,9.849817200E0,9.850509346E0
1.835996583E0,8.367599487E-2,9.250762939E-2,9.849517822E0,9.850307643E0
1.846025583E0,7.050338745E-2,8.532257080E-2,9.853709106E0,9.854330714E0
1.856054583E0,8.397537231E-2,7.140151978E-2,9.848320312E0,9.848937152E0
1.866084583E0,8.532257080E-2,5.718109131E-2,9.843679962E0,9.844215805E0
1.876113583E0,8.502319336E-2,5.493576050E-2,9.851014709E0,9.851534788E0
1.886142583E0,8.637039185E-2,5.508544922E-2,9.845925293E0,9.846458202E0
1.896171583E0,8.337661743E-2,6.301895142E-2,9.843979340E0,9.844534133E0
1.906201583E0,8.951385498E-2,7.379653931E-2,9.845027161E0,9.845710663E0
1.916230583E0,8.547225952E-2,8.307723999E-2,9.843230896E0,9.843952550E0
1.926259583E0,8.307723999E-2,8.472381592E-2,9.838590546E0,9.839306067E0
1.936289583E0,7.679031372E-2,9.505233765E-2,9.843829651E0,9.844588051E0
1.946318583E0,7.858657837E-2,9.909393311E-2,9.843679962E0,9.844492402E0
1.956347583E0,7.873626709E-2,8.981323242E-2,9.841135254E0,9.841860033E0
1.966377583E0,7.574249268E-2,8.247848511E-2,9.842482452E0,9.843119447E0
1.976406583E0,8.038284302E-2,7.244934082E-2,9.839937744E0,9.840532766E0
1.986435583E0,7.978408813E-2,5.867797852E-2,9.833501129E0,9.833999851E0
1.996465583E0,8.053253174E-2,6.047424316E-2,9.835297394E0,9.835813004E0
2.006474583E0,8.876541138E-2,6.930587769E-2,9.841434631E0,9.842078958E0
2.016443583E0,9.639953613E-2,6.870712280E-2,9.857451324E0,9.858162108E0
2.026413583E0,8.637039185E-2,7.170089722E-2,9.846224670E0,9.846864533E0
2.036383583E0,8.607101440E-2,7.708969116E-2,9.839937744E0,9.840616132E0
2.046353583E0,9.235794067E-2,8.158035278E-2,9.840985565E0,9.841757071E0
2.056323583E0,8.607101440E-2,8.098159790E-2,9.838590546E0,9.839300288E0
2.066293583E0,8.427474976E-2,9.086105347E-2,9.844877472E0,9.845657439E0
2.076263583E0,6.661148071E-2,8.292755127E-2,9.842183075E0,9.842757832E0
2.086233583E0,7.843688965E-2,7.723937988E-2,9.843530273E0,9.844145799E0
2.096202583E0,7.903564453E-2,8.083190918E-2,9.839338989E0,9.839988424E0
2.106172583E0,8.577163696E-2,7.634124756E-2,9.842033386E0,9.842703182E0
2.116142583E0,8.083190918E-2,6.601272583E-2,9.836045837E0,9.836599473E0
2.126112583E0,8.083190918E-2,6.915618896E-2,9.838740234E0,9.839315310E0
